,it,v4,fc6,prc,rt,object,category,delta_prc_it,delta_prc_v4
0,0.7399999999999999,0.415,0.745,0.8690713622522099,2401.0,_033,chairs,0.12907136225221005,0.45407136225220995
1,0.8883333333333333,0.52,0.9666666666666668,0.9221867851178196,2108.0,blCow,animals,0.03385345178448629,0.4021867851178196
2,0.768,0.316,0.796,0.9285376572744994,2466.0,breed_pug,animals,0.16053765727449942,0.6125376572744994
3,0.42799999999999994,0.344,0.33999999999999997,0.8130204726030152,3145.0,face0006,faces,0.3850204726030153,0.46902047260301527
4,0.6457142857142858,0.36571428571428566,0.7785714285714286,0.876092247243725,2787.0,_011,chairs,0.23037796152943923,0.5103779615294394
5,0.2614285714285714,0.26285714285714284,0.3628571428571429,0.7103430356817056,3539.0,face0007,faces,0.44891446425313425,0.4474858928245628
6,0.7457142857142858,0.4871428571428571,0.88,0.8243243684420155,2694.0,_001,chairs,0.07861008272772974,0.3371815112991584
7,0.46833333333333327,0.43,0.5333333333333333,0.8304598452653372,3516.0,junkers88,planes,0.36212651193200396,0.40045984526533723
8,0.3216666666666667,0.34500000000000003,0.3583333333333334,0.8017467491744323,3354.0,face0002,faces,0.4800800825077656,0.4567467491744323
9,0.58,0.43166666666666664,0.7333333333333334,0.842271569365559,3021.0,rdbarren,planes,0.26227156936555907,0.4106049026988924
10,0.9339999999999999,0.564,0.982,0.9546653796653797,2242.0,GORILLA,animals,0.020665379665379735,0.39066537966537973
11,0.7183333333333333,0.38666666666666666,0.8266666666666667,0.8584697550214792,2955.0,sopwith,planes,0.14013642168814588,0.4718030883548125
12,0.5116666666666666,0.3016666666666667,0.615,0.8055378720895963,3413.0,mig29,planes,0.29387120542292966,0.5038712054229295
13,0.57,0.4366666666666667,0.6900000000000001,0.8107288846419282,3290.0,_05_future,planes,0.2407288846419282,0.37406221797526146
14,0.806,0.5700000000000001,0.8879999999999999,0.8584725415070242,2527.0,hedgehog,animals,0.052472541507024184,0.28847254150702417
15,0.374,0.364,0.542,0.7954281580880046,3664.0,_19_flyingBoat,planes,0.4214281580880046,0.4314281580880046
16,0.6457142857142858,0.3128571428571429,0.6871428571428572,0.8748048999658514,2858.0,_031,chairs,0.22909061425156563,0.5619477571087086
17,0.3775,0.485,0.5449999999999999,0.7895299145299145,3453.0,_01_Airliner_2jetEngines,planes,0.4120299145299145,0.3045299145299145
18,0.7042857142857143,0.41571428571428576,0.9,0.844643720040611,2771.0,_014,chairs,0.14035800575489665,0.4289294343263252
19,0.42999999999999994,0.56,0.3625,0.8067765567765568,3181.0,face0001,faces,0.37677655677655686,0.24677655677655674
20,0.5449999999999999,0.3375,0.5825,0.8551201031251965,2948.0,_010,chairs,0.31012010312519656,0.5176201031251965
21,0.41000000000000003,0.335,0.4325,0.6839711480665197,3463.0,face0004,faces,0.2739711480665197,0.3489711480665197
22,0.3685714285714286,0.27285714285714285,0.3671428571428571,0.8060586582303173,3163.0,face0008,faces,0.4374872296588887,0.5332015153731744
23,0.778,0.348,0.9620000000000001,0.9195402298850575,2010.0,_004,chairs,0.14154022988505743,0.5715402298850575
24,0.35,0.418,0.386,0.7959035930638365,3217.0,face0005,faces,0.44590359306383653,0.37790359306383653
25,0.7940000000000002,0.5640000000000001,0.8859999999999999,0.9053327706775983,2451.0,LIONESS,animals,0.11133277067759817,0.34133277067759826
26,0.5557142857142857,0.49000000000000005,0.7242857142857143,0.8203631915588437,3213.0,f16,planes,0.264648905844558,0.3303631915588437
27,0.7150000000000001,0.3925,0.9125,0.8880627705627706,2592.0,ELEPHANT_M,animals,0.17306277056277053,0.4955627705627706
28,0.774,0.39399999999999996,0.636,0.8458430458430458,2996.0,_008,chairs,0.0718430458430458,0.45184304584304585
29,0.7328571428571429,0.5785714285714286,0.8828571428571429,0.9014944128121468,2423.0,bear,animals,0.16863726995500394,0.3229229842407182
30,0.8833333333333334,0.6616666666666667,0.9366666666666665,0.8964433876714577,2531.0,TURTLE_L,animals,0.013110054338124288,0.23477672100479097
31,0.4475,0.2775,0.4575,0.8176587301587301,3032.0,face0003,faces,0.37015873015873013,0.5401587301587301
