,experiment,layer,accuracy
0,familiar_high,pixel,0.3142857142857143
1,familiar_high,conv1_1,0.2857142857142857
2,familiar_high,conv1_2,0.3142857142857143
3,familiar_high,pool1,0.2857142857142857
4,familiar_high,conv2_1,0.4
5,familiar_high,conv2_2,0.2857142857142857
6,familiar_high,pool2,0.2857142857142857
7,familiar_high,conv3_1,0.3142857142857143
8,familiar_high,conv3_2,0.22857142857142856
9,familiar_high,conv3_3,0.2857142857142857
10,familiar_high,pool3,0.22857142857142856
11,familiar_high,conv4_1,0.3142857142857143
12,familiar_high,conv4_2,0.2571428571428571
13,familiar_high,conv4_3,0.2571428571428571
14,familiar_high,pool4,0.2571428571428571
15,familiar_high,conv5_1,0.2857142857142857
16,familiar_high,conv5_2,0.2571428571428571
17,familiar_high,conv5_3,0.3142857142857143
18,familiar_high,pool5,0.2857142857142857
19,familiar_high,fc6,0.3142857142857143
20,familiar_high,fc7,0.34285714285714286
21,familiar_high,fc8,0.3142857142857143
22,familiar_low,pixel,0.5428571428571428
23,familiar_low,conv1_1,0.5142857142857142
24,familiar_low,conv1_2,0.5142857142857142
25,familiar_low,pool1,0.5428571428571428
26,familiar_low,conv2_1,0.5714285714285714
27,familiar_low,conv2_2,0.5142857142857142
28,familiar_low,pool2,0.5428571428571428
29,familiar_low,conv3_1,0.5428571428571428
30,familiar_low,conv3_2,0.5142857142857142
31,familiar_low,conv3_3,0.6
32,familiar_low,pool3,0.6285714285714286
33,familiar_low,conv4_1,0.6285714285714286
34,familiar_low,conv4_2,0.6571428571428571
35,familiar_low,conv4_3,0.6857142857142857
36,familiar_low,pool4,0.7714285714285715
37,familiar_low,conv5_1,0.8
38,familiar_low,conv5_2,0.8
39,familiar_low,conv5_3,0.8857142857142857
40,familiar_low,pool5,0.8857142857142857
41,familiar_low,fc6,0.9142857142857143
42,familiar_low,fc7,0.9714285714285714
43,familiar_low,fc8,0.9142857142857143
44,novel_high,pixel,0.2857142857142857
45,novel_high,conv1_1,0.22857142857142856
46,novel_high,conv1_2,0.3142857142857143
47,novel_high,pool1,0.2
48,novel_high,conv2_1,0.2
49,novel_high,conv2_2,0.3142857142857143
50,novel_high,pool2,0.2571428571428571
51,novel_high,conv3_1,0.3142857142857143
52,novel_high,conv3_2,0.2857142857142857
53,novel_high,conv3_3,0.2571428571428571
54,novel_high,pool3,0.2
55,novel_high,conv4_1,0.17142857142857143
56,novel_high,conv4_2,0.2
57,novel_high,conv4_3,0.2
58,novel_high,pool4,0.11428571428571428
59,novel_high,conv5_1,0.17142857142857143
60,novel_high,conv5_2,0.08571428571428572
61,novel_high,conv5_3,0.14285714285714285
62,novel_high,pool5,0.11428571428571428
63,novel_high,fc6,0.17142857142857143
64,novel_high,fc7,0.2
65,novel_high,fc8,0.22857142857142856
66,novel_low,pixel,0.8285714285714286
67,novel_low,conv1_1,0.7428571428571429
68,novel_low,conv1_2,0.7714285714285715
69,novel_low,pool1,0.8571428571428571
70,novel_low,conv2_1,0.5714285714285714
71,novel_low,conv2_2,0.5428571428571428
72,novel_low,pool2,0.6857142857142857
73,novel_low,conv3_1,0.7428571428571429
74,novel_low,conv3_2,0.8285714285714286
75,novel_low,conv3_3,0.9142857142857143
76,novel_low,pool3,0.9428571428571428
77,novel_low,conv4_1,0.9428571428571428
78,novel_low,conv4_2,0.9428571428571428
79,novel_low,conv4_3,0.9428571428571428
80,novel_low,pool4,0.9428571428571428
81,novel_low,conv5_1,0.9714285714285714
82,novel_low,conv5_2,0.9714285714285714
83,novel_low,conv5_3,0.9714285714285714
84,novel_low,pool5,1.0
85,novel_low,fc6,1.0
86,novel_low,fc7,1.0
87,novel_low,fc8,1.0
